park,lat,lng
Jalan Mas Kuning Playground ,1.30780800245289,103.763605995133
Sunset Heights Open Space ,1.32794501705898,103.768867997661
Almond Crescent Playground ,1.37321500854805,103.771884003432
Phoenix Heights Playground ,1.37589003353554,103.757240001981
Lakeside Grove Playground ,1.34007298363987,103.718593996798
one-north Park: Rochester West ,1.30611310021726,103.788029366525
Yunnan Park ,1.33748498597278,103.69290199957
Bukit Batok Town Park ,1.35736098423476,103.756069994032
Jalan Remaja Interim Park ,1.35757800094458,103.760775993338
Parry Avenue Interim Park ,1.36407301180073,103.881278002318
Mei Hwan Crescent Playground ,1.35276700416957,103.861743001571
Pebble Garden ,1.45063801719106,103.829488991841
Kranji Nature Trail ,1.44435098869543,103.73383399198
Sembawang Park ,1.4615029860945,103.836845008751
Sengkang Riverside Park ,1.39944798848949,103.884325989939
Brooks Park ,1.4055841273393,103.822723028657
Punggol Waterway Park ,1.4109970215842,103.904814998591
Platina Road Playground ,1.42754499031824,103.826118993934
Springleaf Nature Park ,1.40115897651427,103.817468667699
Kranji Reservoir Park ,1.43880599266327,103.740057006009
Kandis Garden ,1.45622201251589,103.835674007799
Windsor Nature Park ,1.36002980955599,103.826946179093
Punggol Park ,1.37693901170228,103.898646016222
Lower Seletar Reservoir Park ,1.40997400015505,103.832171003957
Springleaf Garden Playground ,1.39803898385092,103.822322000777
Admiralty Park ,1.44417042427999,103.782058929229
Yishun Pond Park ,1.42759699434119,103.839486993379
Jalan Rasok Park ,1.41651199011886,103.759038994785
Goodlink Park Playground ,1.42728100396175,103.825350996754
Yishun Park ,1.42437600154029,103.84260999229
Lower Peirce Reservoir Park ,1.36906501231608,103.826296008364
Punggol Waterway ,1.40223299924483,103.9154050167
Marsiling Park ,1.43763301771893,103.769933998893
Pulau Ubin and Chek Jawa ,1.40868999314912,103.965420009834
Kent Ridge Park ,1.28435300657627,103.790318992831
Sistersâ€™ Islands Marine Park ,1.21405833267371,103.834805553003
Telok Blangah Hill Park ,1.27884500650228,103.810545004407
HortPark ,1.27863065273452,103.801481185309
Raffles Place Park ,1.28424399735648,103.851334997301
Hong Lim Park - Speakers' Corner ,1.28663900368187,103.846577998059
Mount Batten Rd/Old Airport Rd Open Space ,1.30573400841613,103.88330098901
Wilkinson Interim Park ,1.30157198694066,103.887303997701
Bunga Rampai Park ,1.34045302254281,103.884275005667
Handy Road Open Space ,1.29897100091601,103.84777500427
Kitchener Green Playground ,1.30730499713228,103.859533002821
Penang Road Open Space ,1.30009699401837,103.841238007513
National Orchid Garden ,1.31267000887848,103.813893992211
Eng Kong Garden Playground ,1.33692401719002,103.769163007842
Sennett Avenue Open Space ,1.31878498855893,103.939423995901
Interim Park At Lengkong Enam ,1.32736399042993,103.914736987314
Pesari Walk Playground ,1.32442800353246,103.953982005401
Changi Heights Playground ,1.36284801405719,103.972156990988
Jalan Senang Playground ,1.32899598345262,103.915657988943
Telok Kurau Park ,1.31536500670409,103.914285987588
Sunrise Place Playground ,1.38694298284096,103.856600000567
Seletar Terrace Playground ,1.38146800285887,103.868719994142
Upper Peirce Reservoir Park ,1.37450901296906,103.811353002102
Tai Hwan Terrace Playground ,1.35635900364815,103.860395002318
Woodlands Town Park East ,1.43652399605571,103.779225994086
Sungei Buloh Wetland Reserve ,1.44021109438519,103.735469441118
Tamarind Road Playground ,1.38970200824166,103.860192003962
Woodlands Waterfront Park ,1.45270000280122,103.780115001631
Ellington Square Playground ,1.37200201143139,103.8345300001
Thrift Drive Open Space ,1.34388700495724,103.883247013056
Cactus Road Playground ,1.39010900260341,103.852235996241
Serenade Walk Playground ,1.37992099278184,103.834559997553
Gelenggang Park ,1.3734760171315,103.82985799937
Park Villas Terrace Playground ,1.36898199651608,103.880038986362
Jalan Kemuning Park ,1.43935801058573,103.826964006486
Sunrise Terrace Open Space ,1.38825798987759,103.85612099449
Sunrise Close Playground ,1.38701200648595,103.85751000337
Thomson Walk Playground ,1.37599700541463,103.832498999628
Mimosa Road Playground ,1.38426200171396,103.862974003853
Chartwell Drive Park ,1.35963099707599,103.863871997607
Springside Park ,1.40567198380168,103.820607004324
Florissa Park Playground ,1.38695401385743,103.835071996736
Kranji Marshes ,1.4202270044737,103.719891001209
Janggus Garden ,1.45754000043802,103.836984004973
Ann Siang Hill Park ,1.28043799569511,103.846118991983
Duxton Plain Park ,1.28112199338038,103.841419008008
Yishun Neighbourhood Park ,1.43762199315966,103.835077000931
Tanah Puteh Park ,1.31587297458671,103.931431007828
Jalan Pari Dedap Playground ,1.33302098061918,103.943879998136
Jalan Limau Kasturi Playground ,1.32398300052142,103.946385010592
Dew Garden ,1.39926598983919,103.871064999127
Sunrise Way Playground ,1.38766198061858,103.8567519929
Jalan Kelichap Playground ,1.34678199384784,103.881825008434
Interim Park at Terang Bulan Avenue ,1.32163298613197,103.921576998431
Sunbird Circle Playground ,1.33903900258699,103.958233998139
Jalan Pelatok Playground ,1.34609499913104,103.96034399401
Jalan Limau Kasturi Open Space ,1.32428400500475,103.946227975324
Changi East Boardwalk ,1.39179402610172,103.98634401654
Teacher's Estate Playground ,1.38199198350515,103.829199999261
East Coast Terrace Park ,1.31099600110692,103.923806011504
Singapore Botanic Gardens ,1.31104799117615,103.8162510018
Labrador Nature Reserve ,1.26576098729676,103.803132991334
Sembawang Hot Spring Park ,1.43416900745054,103.822646892476
Sennett Avenue Playground ,1.31701300192687,103.936211992606
Lucky Gardens Playground ,1.31928700190599,103.941376027843
Bedok Town Park ,1.33433543386641,103.920870105439
Lentor Grove Playground ,1.38637898011574,103.838321000262
Telok Kurau Lorong N Park ,1.31032499244793,103.912805012433
Dedap Place Playground ,1.38779799024028,103.868412996645
Chuan Walk Playground ,1.35722198250143,103.867552999516
Bedok Reservoir Park ,1.33909400181013,103.926809990659
Jalan Riang Playground ,1.34710898656633,103.867396000461
Changi West Boardwalk ,1.39004398808481,103.975878001995
Cheng Soon Garden Playground ,1.33588600793432,103.771683001973
Jalan Tekukor Playground ,1.34613801947644,103.766776000112
Namly Park ,1.32329899251823,103.796581000747
Novena Rise Park ,1.3248380105169,103.842727999825
Hooper Road Playground ,1.31239900279065,103.843203991187
Chwee Chian Playground ,1.27920699805128,103.788954002616
Esplanade Park ,1.28941700056052,103.853597006001
Bishan-Ang Mo Kio Park ,1.3614559889116,103.847295002494
Arthur Park ,1.30338100339795,103.88821399352
one-north Park: Biopolis ,1.30427800508224,103.790368006179
Katong Park ,1.29717500161512,103.88636699295
Meyer Road Playground ,1.29856899320857,103.894196994238
Thomson Road Playground ,1.31615298537997,103.843851998491
Jacob Ballas Children's Garden ,1.32069549289459,103.81791820006
Jupiter Road Playground ,1.35827000334118,103.825161003409
Gentle Drive Playground ,1.32036100553335,103.840698992687
Goldhill Avenue Playground ,1.32113298217552,103.833174001996
Pasir Panjang Park ,1.27569899889613,103.792076002745
Lorong 40 Geylang Playground ,1.31365001641553,103.889368987508
Telok Ayer Park ,1.27817799839718,103.84668700735
Aljunied Park ,1.3291380155208,103.879963007648
Jambol Place Park ,1.27902600515874,103.790185001957
Pearl's Hill City Park ,1.28238099129417,103.839540995736
Oasis@Mulberry Park ,1.33232501027716,103.878435998931
Haig Walk ,1.30651900009923,103.900740008896
Jalan Pintau Playground ,1.35403599295373,103.839945000658
Joo Chiat Terrace Interim Park ,1.3144079987312,103.901698999963
Orchid Village Playground ,1.33570401108734,103.801713002995
Clementi Crescent Playground ,1.3231039894972,103.773259992457
Pemimpin Place Playground ,1.35337000437201,103.842720000709
Soo Chow Walk Playground ,1.35364696671371,103.832027997859
Highgate Walk Playground ,1.34051598711497,103.765983998843
Island Gardens Walk Playground ,1.36199899589951,103.828438998161
MacRitchie Reservoir Park ,1.34152298935114,103.833590006976
Marina Promenade ,1.29057200094772,103.864678999149
Ang Mo Kio Town Garden East ,1.37057100018187,103.850285996786
Holland Grove View Fitness Corner ,1.31248299217226,103.782779005345
Sixth Avenue Playground ,1.32243601665582,103.791281008483
War Memorial Park ,1.29282499699848,103.854818004778
Beng Wan Road Playground ,1.32380597927059,103.86583500031
Henry Park ,1.31623499758018,103.783106005851
River Valley Road / Clemenceau Avenue Open Space ,1.29308999556797,103.84491500795
Ang Mo Kio Town Garden West ,1.37402501376588,103.842887001241
Mayfair Park ,1.34139598931109,103.780895006173
Guillemard Road Open Space ,1.3145509896298,103.892397015046
Thomson Park Estate Interim Park ,1.35655698822033,103.834034991637
Bangsawan Park ,1.32120799539342,103.923837990533
Eastwood Park Playground ,1.32311502040416,103.957615982182
Watten Heights Playground ,1.33170298432389,103.80898700707
Grove Lane Playground ,1.31376300928782,103.784206003929
Carpmael Road Open Space ,1.31150200552321,103.898952005306
Orchard Fountain Corner ,1.30158700260588,103.837610994321
Holland Village Park ,1.31173000006272,103.795543995849
Waterboat House Garden ,1.28732000560153,103.853473001627
Rowell Road Open Space ,1.30842200284088,103.854849
Youth Olympic Park ,1.28848999572479,103.860638997467
Greenwood Crescent Playground ,1.33550601569391,103.805487000523
Berlayer Creek ,1.27236499187616,103.802693003573
Kim Pong Park ,1.28384500791232,103.829977001375
Novena Park ,1.32231297895579,103.842813002418
Golden Rise Playground ,1.33632401782669,103.764869007062
Lembu Road Open Space ,1.30975899721142,103.854776006135
Hoover Park ,1.34386298455144,103.773039987989
Tanjong Katong Road South Playground ,1.30017400290536,103.89732200163
Jalan Kebaya Playground ,1.31411501669973,103.780245998799
Shelford Road Playground ,1.32834400830712,103.810509002674
Malcolm Park ,1.32298701214919,103.827057999456
The Foothills Fort Canning Park ,1.29225799342141,103.84569099786
MacPherson Linear Park ,1.33379800164764,103.881706014162
Ganges Avenue Open Space ,1.29075999254776,103.83179800761
Chempaka Avenue Playground ,1.33187400889662,103.875615995335
Geylang East Park ,1.32177198800448,103.887658999231
Fort Canning Park ,1.29177800435869,103.846609005448
Changi Beach Park ,1.38340098971507,104.001675008726
Jalan Chempaka Kuning Playground ,1.32974601652478,103.950168022101
Saraca Road Playground ,1.38594300243715,103.858757994618
Mimosa Walk Playground ,1.38310499948583,103.861459991791
Mera Terrace Playground ,1.34740400583367,103.963506003857
Jalan Angin Laut Playground ,1.33718398610323,103.956225002141
Sunrise Drive Playground 2 ,1.39030101988892,103.855252008289
Lentor Road Playground ,1.38829201020433,103.837572008652
Pasir Ris Park ,1.37868402178859,103.952173012299
Loyang View Playground ,1.36303900201943,103.965636997663
Jalan Buloh Perindu Playground ,1.30848299814914,103.919383992137
Tanah Merah Playground ,1.32902900416768,103.94687600443
Luxus Hills Park ,1.37949200292749,103.875185997533
Banyan Villas Playground ,1.38725001009072,103.838825995108
Taman Kembangan Playground ,1.32500301174325,103.914401992508
Jalan Limau Manis Playground ,1.32472798680362,103.949047986876
Richards Avenue Park ,1.36092898756718,103.882129005066
Lorong Tanggam Park ,1.39903502830064,103.873847999194
Bougainvillea Park ,1.32671600556136,103.807658003097
Holland Green Playground ,1.32686097997825,103.782814007566
North Bridge Garden ,1.30410899340616,103.862146001865
Istana Park ,1.29926400300755,103.843838993634
Toa Payoh Town Park ,1.33057999366942,103.847968006121
Kim Seng Park ,1.29283999640308,103.834956997814
Mount Sinai Plain Playground ,1.3157090147631,103.78122199104
Thomson Park ,1.35429099006295,103.834364003112
Holland Grove View Playground ,1.31295098590754,103.781229998572
Dhoby Ghaut Green ,1.29834300751732,103.845882003067
Mount Emily Park ,1.30449799629073,103.847462000956
Kallang Riverside Park ,1.30578700601773,103.866978993095
Empress Place ,1.2868239938791,103.851956991278
Mount Faber Park ,1.27528100835684,103.818222000624
East Coast Park ,1.30316900590952,103.920605001614
Limau Garden Playground ,1.3224530006075,103.950772994504
Meragi Road Playground ,1.34438300662538,103.960282983203
Realty Park Playground ,1.367302019013,103.889831987144
Pasir Ris Town Park ,1.37168999463144,103.952377989422
Bedok Ria Crescent Playground ,1.3274170012123,103.953081982587
Coronation Park Playground ,1.32202599013522,103.796399992559
The Inglewood Playground ,1.36101398325524,103.830173997508
Duchess Park ,1.32428998877263,103.805479000604
Clover Crescent Playground ,1.35106199585901,103.844621998074
Binchang Rise Playground ,1.34867398297342,103.843547994579
Taman Permata Park ,1.35015599579781,103.835175010264
Hua Guan Crescent Playground ,1.33701100440066,103.785060002552
Central Catchment Nature Reserve ,1.37730497383028,103.805473991222
Siang Kuang Avenue Interim Park ,1.32972099363571,103.873050010599
Somme Road Playground ,1.31148401066078,103.858152000653
Stamford Green ,1.29571699496852,103.848860995111
King's Drive  Playground ,1.31910999951731,103.806055991416
University Road Park ,1.32545199692878,103.817665995097
Greenleaf View Park Playground ,1.32228801135119,103.788076003791
Chestnut Nature Park ,1.37097156701338,103.78083740117
Telok Ayer Green ,1.28146500698614,103.847644002876
Mayflower Crescent Playground ,1.3727180131601,103.839569003072
Sunrise Drive Playground 1 ,1.38830597203414,103.857369999308
Elias Terrace Playground ,1.37219001582779,103.941093992579
Kew Avenue Playground ,1.32162700448726,103.948451009513
Greenfield Drive Playground ,1.31303499211434,103.917655996762
Sun Plaza Park ,1.359264023047,103.944481988262
Changi Point Ferry Terminal ,1.39122600073616,103.987296000544
Shangri-La Playground ,1.37102098159919,103.832391997745
Opera Estate Football Field ,1.32010101002963,103.924455991866
Lentor Vale Playground ,1.3880540162578,103.836146008453
Limau Villas Playground ,1.32385199809351,103.950394989304
Paya Lebar Crescent Open Space ,1.34896701230879,103.883569003858
Mugliston Park Playground ,1.38544598318684,103.87790599596
Sungei Api Api Park ,1.37873299431662,103.9456669951
Yio Chu Kang Gardens Playground ,1.3806810080854,103.837486998981
Tampines Eco Green ,1.36391499068087,103.948689980155
Mimosa Terrace Playground ,1.38405000123823,103.860449992285
Neram Crescent Playground ,1.38558901364397,103.865743999885
Changi Point Waterfront Park ,1.39064700115984,103.98808900299
Aida Park ,1.31938000337146,103.927926997004
Tai Keng Gardens Playground ,1.34607100763102,103.884997993848
Realty Park ,1.36796366154687,103.890364510014
Changi Point Promenade ,1.39017201315715,103.989190007291
Aroozoo Avenue Playground ,1.35519602028456,103.885954996071
St. Anne's Wood Playground ,1.3916400007576,103.903735985364
Bedok Terrace Playground ,1.32553400234434,103.947489983993
