school_name,address,mainlevel_code,lat,lng
compassvale secondary school,51   compassvale crescent,secondary,1.39652095,103.90014701267849
concord primary school,3    choa chu kang ave 4,primary,1.3847371,103.7455235
corporation primary school,31   jurong west street 24,primary,1.35142845,103.70769543642461
crescent girls' school,357  tanglin road,secondary,1.2934392,103.81802376836586
crest secondary school,561  jurong east street 24,secondary,1.34386705,103.74280532049548
damai primary school,52   bedok reservoir crescent,primary,1.3354514,103.92139171652317
damai secondary school,4800 bedok reservoir road,secondary,1.337598,103.92682076787418
dazhong primary school,35   bukit batok street 31,primary,1.3591826,103.74796785698436
de la salle school,11   choa chu kang st 52,primary,1.3950086000000002,103.74325929182976
deyi secondary school,1    ang mo kio street 42,secondary,1.3667377,103.85219102410963
dunearn secondary school,21   bukit batok west avenue 2,secondary,1.36358465,103.74454623037288
dunman high school,10   tanjong rhu road,mixed levels,1.297452,103.8765419
dunman secondary school,21   tampines street 45,secondary,1.36116845,103.95601386964589
east spring primary school,31   tampines st 33,primary,1.3528815,103.96191726928652
east spring secondary school,30   tampines street 34,secondary,1.3569738500000001,103.96108060454718
edgefield primary school,41   edgefield plains,primary,1.40035045,103.90752739305407
edgefield secondary school,36   punggol field,secondary,1.4002065,103.90231236583652
elias park primary school,11   pasir ris street 52,primary,1.37491195,103.94517579238352
endeavour primary school,10   admiralty link,primary,1.4544299500000002,103.81757920859401
eunoia junior college,2    sin ming place,junior college,1.3590773,103.8351214
eunos primary school,95   jalan eunos,primary,1.32463215,103.90458530342072
evergreen primary school,31   woodlands circle,primary,1.44383025,103.79473608556
evergreen secondary school,11   woodlands street 83,secondary,1.44173915,103.79402384418674
fairfield methodist school (primary),100  dover road,primary,1.3005616,103.7845243
fairfield methodist school (secondary),102  dover road,secondary,1.30171935,103.7843920607827
fajar secondary school,31   gangsa road,secondary,1.3753080500000001,103.7640113844527
farrer park primary school,2    farrer park road,primary,1.3125247,103.8510381626646
fengshan primary school,307  bedok north road,primary,1.3300987,103.93188245052653
fern green primary school,70   fernvale link,primary,1.3958874,103.8790836
fernvale primary school,1    fernvale lane,primary,1.3899632999999998,103.8742108705357
first toa payoh primary school,7    lorong 8 toa payoh,primary,1.3404649,103.8558674534298
frontier primary school,20   jurong west street 61,primary,1.3369298,103.69963774202806
fuchun primary school,23   woodlands avenue 1,primary,1.4269223,103.7986233
fuchun secondary school,21   woodlands avenue 1,secondary,1.4269223,103.7986233
fuhua primary school,65   jurong east street 13,primary,1.3364853499999998,103.73645449079083
fuhua secondary school,5    jurong west street 41,secondary,1.34730265,103.72703830833032
gan eng seng primary school,100  redhill close,primary,1.2858741500000002,103.81513175137866
gan eng seng school,1    henderson road,secondary,1.2894694000000002,103.82366196916158
geylang methodist school (primary),4    geylang east central,primary,1.3184764,103.8818566
geylang methodist school (secondary),2    geylang east central,secondary,1.3199543,103.88952227706913
gongshang primary school,1    tampines street 42,primary,1.3573263,103.94931114016394
greendale primary school,50   edgedale plains,primary,1.39620005,103.91272454370991
greendale secondary school,51   edgedale plains,secondary,1.3977221499999999,103.91160976934093
greenridge primary school,11   jelapang road,primary,1.3856168,103.76800482210834
greenridge secondary school,32   bukit panjang ring road,secondary,1.3825375,103.7738488647038
greenwood primary school,11   woodlands  dr  62,primary,1.4399652,103.8047573433338
guangyang primary school,6    bishan street 12,primary,1.3457530000000002,103.84930970398092
guangyang secondary school,8    bishan street 12,secondary,1.34461375,103.8499305484476
hai sing catholic school,9    pasir ris drive 6,secondary,1.3745734,103.95515793710277
haig girls' school,51   koon seng road,primary,1.31173415,103.90267301151283
henry park primary school,1    holland grove road,primary,1.3170568999999999,103.78421632658535
hillgrove secondary school,10   bukit batok street 52,secondary,1.3533675,103.75299054610036
holy innocents' high school,1191 upper serangoon road,secondary,1.3716598,103.8957435716956
holy innocents' primary school,5    lorong low koon,primary,1.36708755,103.89388216851452
hong wen school,30   towner road,primary,1.32178305,103.85752691301875
horizon primary school,61   edgedale plains,primary,1.39998505,103.91311619800231
hougang primary school,1    hougang st 93,primary,1.3783581,103.88107202176852
hougang secondary school,2    hougang street 93,secondary,1.37773995,103.88247109093004
hua yi secondary school,60   jurong west st 42,secondary,1.3520885,103.72162517495629
huamin primary school,21   yishun avenue 11,primary,1.42686205,103.84426433501295
hwa chong institution,661  bukit timah road,mixed levels,1.3180945,103.8327793
innova primary school,80   woodlands drive 17,primary,1.4292761,103.79073434544745
jiemin primary school,2    yishun street 71,primary,1.42810765,103.83017091898063
jing shan primary school,5    ang mo kio st 52,primary,1.3722577999999999,103.85201520714915
junyuan primary school,2    tampines street 91,primary,1.347782,103.9393972465966
junyuan secondary school,11   tampines street 84,secondary,1.3530906,103.93349716384535
jurong pioneer junior college,21   teck whye walk,junior college,1.38545185,103.753923628179
jurong primary school,320  jurong east street 32,primary,1.3487249000000001,103.73305563805556
jurong secondary school,31   yuan ching road,secondary,1.33030995,103.72397423030336
jurong west primary school,30   jurong west st 61,primary,1.3393141499999999,103.69902734141112
jurong west secondary school,61   jurong west street 65,secondary,1.3354612000000001,103.70240256902011
jurongville secondary school,202  jurong east avenue 1,secondary,1.35128445,103.72897389782479
juying primary school,31   jurong west street 91,primary,1.33875125,103.68825378175828
juying secondary school,33   jurong west street 91,secondary,1.341797,103.6901665
keming primary school,90   bukit batok east avenue 6,primary,1.3453422000000002,103.75639902669866
kent ridge secondary school,147  west coast road,secondary,1.3011517000000001,103.76512888660395
kheng cheng school,15   lorong 3 toa payoh,primary,1.33703365,103.84744227895004
kong hwa school,350  guillemard road,primary,1.3111953,103.88787278336936
kranji primary school,11   choa chu kang street 54,primary,1.39393915,103.74715505973106
kranji secondary school,61   choa chu kang street 51,secondary,1.3905569500000001,103.7412086489197
kuo chuan presbyterian primary school,8    bishan street 13,primary,1.3507026,103.8528522
kuo chuan presbyterian secondary school,10   bishan street 13,secondary,1.35019155,103.85468982217463
lakeside primary school,161  corporation walk,primary,1.33834735,103.71798831116391
lianhua primary school,2    bukit batok street 52,primary,1.3538616499999998,103.7540792422912
loyang view secondary school,12   pasir ris street 11,secondary,1.3664422,103.9575296221395
maha bodhi school,10   ubi avenue 1,primary,1.3284777,103.90153454958934
manjusri secondary school,20   ubi avenue 1,secondary,1.3275613499999999,103.90171392055302
maris stella high school,25   mount vernon road,mixed levels,1.34203865,103.87832755031559
marsiling primary school,31   woodlands centre road,primary,1.4341551,103.77336667761655
marsiling secondary school,12   marsiling road,secondary,1.43729935,103.77594105924656
marymount convent school,20   marymount road,primary,1.3402824,103.83975627199351
mayflower primary school,6    ang mo kio ave 2,primary,1.3769171,103.8351841
mayflower secondary school,2    ang mo kio street 21,secondary,1.36906525,103.83577078845278
mee toh school,21   edgedale plains,primary,1.3948814,103.90854484597197
meridian primary school,20   pasir ris st 71,primary,1.3760329,103.9352079847041
meridian secondary school,31   pasir ris street 51,secondary,1.36757525,103.9489426571053
methodist girls' school (primary),11   blackmore drive,primary,1.3328403500000001,103.78357653245811
methodist girls' school (secondary),11   blackmore drive,secondary,1.3328403500000001,103.78357653245811
millennia institute,60   bukit batok west avenue 8,centralised institute,1.3532096,103.7389263
montfort junior school,52   hougang avenue 8,primary,1.3746523499999999,103.88953676594389
montfort secondary school,50   hougang avenue 8,secondary,1.3738332500000001,103.88879516794466
nan chiau high school,20   anchorvale link,secondary,1.3894693,103.89008329140609
nan chiau primary school,50   anchorvale link,primary,1.3920267499999999,103.89104244775346
nan hua high school,41   clementi avenue 1,secondary,1.3083036,103.76909938343833
nan hua primary school,30   jalan lempeng,primary,1.319504,103.76183412747466
nanyang girls' high school,2    linden drive,secondary,1.3305083500000001,103.8023239692522
nanyang junior college,128  serangoon avenue 3,junior college,1.3513392999999998,103.86657490591355
nanyang primary school,52   king's road,primary,1.3208318499999998,103.80821659496904
national junior college,37   hillcrest road,mixed levels,1.3330649,103.8081867
naval base primary school,7    yishun ave 4,primary,1.4165306000000002,103.83846101951393
naval base secondary school,901  yishun ring road,secondary,1.419211,103.83099497032207
new town primary school,300  tanglin halt road,primary,1.29972515,103.80008513099864
new town secondary school,1020 dover road,secondary,1.30988355,103.77360136689545
ngee ann primary school,344  marine terrace,primary,1.30554595,103.91795247595277
ngee ann secondary school,1    tampines street 32,secondary,1.3543069,103.95665280780372
north spring primary school,1    rivervale street,primary,1.3871308,103.9041517
north view primary school,210  yishun avenue 6,primary,1.4306081,103.849242
north vista primary school,20   compassvale link,primary,1.3828947999999999,103.89597706955436
north vista secondary school,11   rivervale link,secondary,1.3816673000000002,103.89878616016483
northbrooks secondary school,585  yishun ring road,secondary,1.4201629,103.8316274
northland primary school,15   yishun avenue 4,primary,1.4212034,103.84058396984423
northland secondary school,3    yishun street 22,secondary,1.43571045,103.84071947342821
northlight school,151  towner road,secondary,1.32011765,103.85615292371608
northoaks primary school,61   sembawang drive,primary,1.45694685,103.81354104538616
nus high school of mathematics and science,20   clementi avenue 1,mixed levels,1.3114714,103.7691361
oasis primary school,71   edgefield plains,primary,1.4039916,103.910977
opera estate primary school,48   fidelio street,primary,1.3196642,103.92376598402687
orchid park secondary school,10   yishun street 81,secondary,1.4157749499999999,103.83810287861955
outram secondary school,3    york hill,secondary,1.28627625,103.83712669941735
palm view primary school,150  compassvale bow,primary,1.38410015,103.89115435183996
park view primary school,60   pasir ris drive 1,primary,1.363294,103.9643002
pasir ris crest secondary school,11   pasir ris street 41,secondary,1.37271,103.9597609909008
pasir ris primary school,5    pasir ris street 21,primary,1.37215285,103.96302630022184
pasir ris secondary school,390  tampines street 21,secondary,1.35470585,103.94852724495263
paya lebar methodist girls' school (primary),298  lorong ah soo,primary,1.34993195,103.88492375591991
paya lebar methodist girls' school (secondary),296  lor ah soo,secondary,1.3466286,103.8772645
pei chun public school,16   lorong 7 toa payoh,primary,1.3370877,103.85567368799579
pei hwa presbyterian primary school,7    pei wah avenue,primary,1.3380993,103.77621882050181
pei hwa secondary school,21   fernvale link,secondary,1.39088135,103.87815202921738
pei tong primary school,15   clementi avenue 5,primary,1.316004,103.76784516774438
peicai secondary school,10   serangoon avenue 4,secondary,1.35891515,103.87058442684707
peirce secondary school,10   sin ming walk,secondary,1.3664814,103.82953310012323
peiying primary school,651  yishun ring road,primary,1.4177946000000001,103.83016958773982
ping yi secondary school,61   chai chee street,secondary,1.3269364000000001,103.92096511877992
pioneer primary school,23   jurong west street 81,primary,1.3489146,103.69480866814555
poi ching school,21   tampines street 71,primary,1.3577705,103.93548678736875
presbyterian high school,5209 ang mo kio avenue 6,secondary,1.3832223,103.84281996031899
princess elizabeth primary school,30   bukit batok west avenue 3,primary,1.3493822,103.74095420018139
punggol cove primary school,52   sumang walk,primary,1.4117400999999998,103.89921923530514
punggol green primary school,98   punggol walk,primary,1.4019959,103.899213
punggol primary school,61   hougang avenue 8,primary,1.3781311500000002,103.89475446575264
punggol secondary school,51   edgefield plains,secondary,1.4022782999999999,103.90906378552833
punggol view primary school,9    punggol place,primary,1.3997825,103.9014659
qifa primary school,50   west coast avenue,primary,1.31280555,103.75696495470032
qihua primary school,5    woodlands street 81,primary,1.4420502000000002,103.78833369286497
queenstown primary school,310  margaret dr,primary,1.2960256,103.8078517193143
queenstown secondary school,1    strathmore road,secondary,1.2934342,103.81331399959538
queensway secondary school,2a   margaret drive,secondary,1.3004452,103.80190765214465
radin mas primary school,1    bukit purmei avenue,primary,1.2750442,103.8240239309686
raffles girls' primary school,21   hillcrest road,primary,1.3347179,103.8074095
raffles girls' school (secondary),2    braddell rise,secondary,1.34295555,103.84330709944169
raffles institution,1    raffles institution lane,mixed levels,0.0,0.0
red swastika school,350  bedok north avenue 3,primary,1.3336412,103.93461860928615
regent secondary school,50   choa chu kang north 5,secondary,1.3935137499999999,103.75101209380934
river valley high school,6    boon lay avenue,mixed levels,1.3433953,103.70925920622919
river valley primary school,2    river valley green,primary,1.2964913999999998,103.83444171697309
riverside primary school,110  woodlands crescent,primary,1.4472779,103.80183283378793
riverside secondary school,3    woodlands street 81,secondary,1.44058925,103.78839524092368
rivervale primary school,80   rivervale drive,primary,1.39365955,103.9046125317468
rosyth school,21   serangoon north avenue 4,primary,1.37276625,103.87452822134901
rulang primary school,6    jurong west street 52,primary,1.34660905,103.71873699937234
"school of science and technology, singapore",1    technology drive,secondary,1.3131051,103.77372539203807
"school of the arts, singapore",1    zubir said drive,mixed levels,1.2993051,103.8489594
sembawang primary school,10   sembawang drive,primary,1.4452989,103.82089038717231
sembawang secondary school,30   sembawang crescent,secondary,1.44565285,103.81666278797933
seng kang primary school,21   compassvale walk,primary,1.38939055,103.89939534841366
seng kang secondary school,10   compassvale lane,secondary,1.3865332,103.89870625871443
sengkang green primary school,15   fernvale road,primary,1.39288245,103.87480361151378
serangoon garden secondary school,21   serangoon north avenue 1,secondary,1.3702241,103.86897286092807
serangoon secondary school,11   upper serangoon view,secondary,1.3749396,103.90206302368388
shuqun primary school,8    jurong west street 51,primary,1.34712705,103.72159024757968
si ling primary school,61   woodlands avenue 1,primary,1.4327239999999999,103.7857785129217
singapore chinese girls' primary school,190  dunearn road,primary,1.3210897,103.82786731298657
singapore chinese girls' school,190  dunearn road,secondary,1.3210897,103.82786731298657
singapore sports school,1    champions way,mixed levels,1.4272654,103.78772923507564
south view primary school,6    choa chu kang central,primary,1.3816346,103.7455626
spectra secondary school,1    woodlands drive 64,secondary,1.43640725,103.80428360303222
springdale primary school,71   anchorvale link,primary,1.3949768,103.88977656483088
springfield secondary school,30   tampines avenue 8,secondary,1.35001895,103.92999016099517
st. andrew's junior college,5    sorby adams drive,junior college,1.3319318500000001,103.86353130239937
st. andrew's junior school,2    francis thomas drive,primary,1.3314533499999999,103.86502467636979
st. andrew's secondary school,15   francis thomas drive,secondary,1.3314243000000001,103.86590718437401
st. anthony's canossian primary school,1602 bedok north ave 4,primary,1.3349316,103.94086619821809
st. anthony's canossian secondary school,1600 bedok north avenue 4,secondary,1.334946,103.9423636122844
st. anthony's primary school,30   bukit batok st 32,primary,1.3632481,103.7487009
st. gabriel's primary school,220  lorong chuan,primary,1.354799,103.866598
st. gabriel's secondary school,24   serangoon avenue 1,secondary,1.3465775500000001,103.87547399268121
st. hilda's primary school,2    tampines ave 3,primary,1.3514157,103.9306426
st. hilda's secondary school,2    tampines street 82,secondary,1.3501232,103.93700761243284
st. joseph's institution,38   malcolm road,mixed levels,1.3241929,103.82832014561242
st. joseph's institution junior,3    essex road,primary,1.31754345,103.8463068157661
st. margaret's primary school,2    mattar road,primary,1.3245444,103.88162980070163
st. margaret's secondary school,111  farrer road,secondary,1.32043285,103.80968354710049
st. patrick's school,490  east coast road,secondary,1.3086646499999999,103.91694506663454
st. stephen's school,20   siglap view,primary,1.318257,103.91827351658476
stamford primary school,1    victoria lane,primary,1.3038409,103.85730102406205
swiss cottage secondary school,3    bukit batok street 34,secondary,1.36456,103.75043307403962
tampines meridian junior college,21   pasir ris street 71,junior college,1.37620765,103.93790362438747
tampines north primary school,30   tampines avenue 9,primary,1.3606858,103.9508325
tampines primary school,250  tampines street 12,primary,1.3503174,103.9439018600156
tampines secondary school,252  tampines st 12,secondary,1.3494462,103.94410229255537
tanglin secondary school,301  west coast road,secondary,1.30983385,103.75804351906994
tanjong katong girls' school,20   dunman lane,secondary,1.3092265,103.8962351
tanjong katong primary school,860  new upper changi road,primary,1.3242147499999999,103.93883600899255
tanjong katong secondary school,130  haig road,secondary,1.3083187,103.89733967436041
tao nan school,49   marine crescent,primary,1.3033097,103.9123064
teck ghee primary school,1    ang mo kio street 32,primary,1.36536405,103.85093696575059
teck whye primary school,11   teck whye walk,primary,1.3838682,103.75364438639032
teck whye secondary school,31   teck whye crescent,secondary,1.3830944,103.75523104179673
telok kurau primary school,50   bedok reservoir rd,primary,1.3374597,103.9146683
temasek junior college,22   bedok south road,mixed levels,1.31820425,103.9349802695076
temasek primary school,501  bedok south ave 3,primary,1.3174447,103.94583151191244
temasek secondary school,600  upper east coast road,secondary,1.3163472999999999,103.94785330286003
townsville primary school,3    ang mo kio ave 10,primary,1.3757477,103.8546396
unity primary school,21   choa chu kang crescent,primary,1.40273665,103.74675327152696
unity secondary school,20   choa chu kang street 62,secondary,1.39972215,103.74602939217792
valour primary school,52   sumang walk,primary,1.4117400999999998,103.89921923530514
victoria junior college,20   marine vista,junior college,1.3061913,103.91984444651865
victoria school,2    siglap link,secondary,1.30854205,103.92745780276405
waterway primary school,70   punggol drive,primary,1.3992087999999998,103.91839414052309
wellington primary school,10   wellington circle,primary,1.4521362500000001,103.82241263283717
west grove primary school,1    jurong west st 72,primary,1.34468085,103.69898328299087
west spring primary school,60   bukit panjang ring road,primary,1.387296,103.7701972
west spring secondary school,61   senja  road,secondary,1.38827575,103.75987151476684
west view primary school,31   senja road,primary,1.38348015,103.76007848739347
westwood primary school,1    jurong west street 73,primary,1.3474423500000001,103.700513045387
westwood secondary school,11   jurong west street 25,secondary,1.35357275,103.70180250863571
white sands primary school,2    pasir ris st 11,primary,1.36547295,103.96125455882462
whitley secondary school,30   bishan street 24,secondary,1.35567945,103.84255758133665
woodgrove primary school,2    woodlands drive 14,primary,1.4331624,103.79032679117
woodgrove secondary school,3    woodlands avenue 6,secondary,1.42830325,103.79658064600358
woodlands primary school,10   woodlands drive 50,primary,1.43669555,103.79169016829829
woodlands ring primary school,11   woodlands ring road,primary,1.43466535,103.79784050639532
woodlands ring secondary school,10   woodlands ring road,secondary,1.436023,103.80043534945747
woodlands secondary school,11   marsiling road,secondary,1.43959845,103.77439467346329
xinghua primary school,45   hougang avenue 1,primary,1.3580028,103.89051501350177
xingnan primary school,5    jurong west street 91,primary,1.3431928,103.68774924347912
xinmin primary school,9    hougang avenue 8,primary,1.3758376,103.8898678
xinmin secondary school,11   hougang avenue 8,secondary,1.3725581999999998,103.88292818222591
xishan primary school,8    yishun street 21,primary,1.43343,103.83778655449996
yangzheng primary school,15   serangoon avenue 3,primary,1.352031,103.8701541
yew tee primary school,10   choa chu kang st 64,primary,1.3969573,103.75108937114848
yio chu kang primary school,1    hougang street 51,primary,1.37791475,103.88546126892923
yio chu kang secondary school,3063 ang mo kio avenue 5,secondary,1.3784798500000002,103.84210804081067
yishun innova junior college,3    yishun ring road,junior college,1.4182108,103.8336083
yishun primary school,500  yishun ring road,primary,1.4343949,103.8342966
yishun secondary school,4    yishun street 71,secondary,1.42793975,103.82902825
yishun town secondary school,6    yishun street 21,secondary,1.4326645500000001,103.83788512141666
yu neng primary school,56   bedok north st 3,na,1.3341393,103.93257412296559
yuan ching secondary school,103  yuan ching road,secondary,1.3405903,103.7230044
yuhua primary school,158  jurong east street 24,primary,1.3428913,103.74096003566154
yuhua secondary school,35   jurong west street 41,secondary,1.3484116,103.7232234
yumin primary school,3    tampines street 21,primary,1.3512643,103.95087354401925
yusof ishak secondary school,11   bukit batok street 25,secondary,1.3426976000000002,103.76000794940666
yuying secondary school,47   hougang avenue 1,secondary,1.3570939499999999,103.89070897403971
zhangde primary school,51   jalan membina,primary,1.2842497000000002,103.82608192459686
zhenghua primary school,9    fajar road,primary,1.37942415,103.76967649681461
zhenghua secondary school,91   senja road,secondary,1.3888414,103.76520736341934
zhonghua primary school,12   serangoon avenue 4,primary,1.3599114,103.86971022260559
zhonghua secondary school,13   serangoon avenue 3,secondary,1.3486042999999999,103.8693704480504
